     Nodes                Values
VP_U1.48                           2.46V
VP_U1.49                         11.15uV
VP_U1.50                           1.63V
VP_U1.51                           4.23V
VP_U1.52                            4.8V
VP_U1.53                           200mV
VP_U1.54                           2.46V
VP_U1.55                         767.34V
VP_U1.56                           2.13V
VP_U1.57                           1.49V
VP_U1.58                           4.29V
VP_U1.59                              0V
VP_U1.60                           5.1mV
VP_U1.61                         655.1mV
VP_U1.62                           3.96V
VP_U1.63                          3.26mV
VP_U1.64                              0V
VP_U1.65                          3.26mV
VP_U1.66                              5V
VP_U1.67                              5V
VP_U1.68                              5V
VP_U1.69                          3.26mV
VP_U1.70                           5.57V
VP_U1.71                           5.57V
VP_U1.72                              5V
VP_U1.73                              5V
VP_U1.74                             4mV
VP_U1.75                         25.63mV
VP_U1.76                        595.54mV
VP_U1.77                        595.54mV
VP_U1.78                        714.65mV
VP_U1.79                        714.65mV
VP_U1.80                         20.43mV
VP_U1.81                           -14mV
VP_U1.82                              5V
VP_U1.83                              0V
VP_U1.84                          3.22mV
VP_U1.85                          3.22mV
VP_U1.86                        499.95uV
VP_U1.87                              0V
VP_U1.88                        321.52nV
VP_U1.89                        -14.15mV
VP_U1.9                         846.84uV
VP_U1.90                        -14.15mV
VP_U1.91                         20.43mV
VP_U1.92                           -14mV
VP_U1.93                        -14.15mV
VP_U1.94                            2.5V
VP_U1.95                         19.12mV
VP_U1.96                           4.13V
VP_U1.97                        426.03mV
VP_U1.98                           4.07V
VP_U1.99                           4.04V
VP_VF1                           25.63mV
